date,Air Average,Water Average
2021-01-01 00:00:00+00:00,9.0,15.850000000000001
2021-01-01 01:00:00+00:00,8.125,15.6
2021-01-01 02:00:00+00:00,6.925000000000001,15.100000000000001
2021-01-01 03:00:00+00:00,6.199999999999999,14.4
2021-01-01 04:00:00+00:00,5.775,14.325000000000001
2021-01-01 05:00:00+00:00,5.4,13.975000000000001
2021-01-01 06:00:00+00:00,4.95,13.55
2021-01-01 07:00:00+00:00,4.65,13.475000000000001
2021-01-01 08:00:00+00:00,4.675,13.175
2021-01-01 09:00:00+00:00,4.725,12.924999999999999
2021-01-01 10:00:00+00:00,4.824999999999999,12.475000000000001
2021-01-01 11:00:00+00:00,4.9,12.45
2021-01-01 12:00:00+00:00,4.574999999999999,12.375
2021-01-01 13:00:00+00:00,4.824999999999999,12.825
2021-01-01 14:00:00+00:00,5.1,12.475000000000001
2021-01-01 15:00:00+00:00,5.975,12.275
2021-01-01 16:00:00+00:00,7.1,12.25
2021-01-01 17:00:00+00:00,8.3,12.399999999999999
2021-01-01 18:00:00+00:00,9.25,12.825
2021-01-01 19:00:00+00:00,10.425,13.125
2021-01-01 20:00:00+00:00,11.524999999999999,13.599999999999998
2021-01-01 21:00:00+00:00,11.899999999999999,13.725
2021-01-01 22:00:00+00:00,12.7,13.925
2021-01-01 23:00:00+00:00,12.524999999999999,13.874999999999998
2021-01-02 00:00:00+00:00,12.125,13.95
2021-01-02 01:00:00+00:00,11.566666666666668,14.199999999999998
2021-01-02 02:00:00+00:00,11.525,13.975
2021-01-02 03:00:00+00:00,10.524999999999999,13.65
2021-01-02 04:00:00+00:00,9.225,13.375
2021-01-02 05:00:00+00:00,8.575,13.350000000000001
2021-01-02 06:00:00+00:00,7.949999999999999,13.225
2021-01-02 07:00:00+00:00,7.5249999999999995,13.0
2021-01-02 08:00:00+00:00,7.0,12.799999999999999
2021-01-02 09:00:00+00:00,6.325000000000001,12.5
2021-01-02 10:00:00+00:00,5.675000000000001,12.2
2021-01-02 11:00:00+00:00,5.35,11.95
2021-01-02 12:00:00+00:00,4.825,11.875
2021-01-02 13:00:00+00:00,4.65,12.325
2021-01-02 14:00:00+00:00,4.925,12.3
2021-01-02 15:00:00+00:00,6.525,12.4
2021-01-02 16:00:00+00:00,8.433333333333334,11.4
2021-01-02 17:00:00+00:00,9.825000000000001,12.3
2021-01-02 18:00:00+00:00,11.375,12.700000000000001
2021-01-02 19:00:00+00:00,12.475,13.05
